"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","Arduino_Nano_v3.x","","","","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf"
"J1,J5","2","Screw_Terminal_01x02","","","","SnapEDA:TE_282837-2",""
"J2,J3","2","Conn_01x05_Socket","","","","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical",""
"J4","1","Conn_01x03_Socket","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"Load1","1","500","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"Q1","1","BT136-600","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.micropik.com/PDF/BT136-600.pdf"
"R1,R2","2","470","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"U1","1","DS1307+","","","","Package_DIP:DIP-8_W7.62mm","https://datasheets.maximintegrated.com/en/ds/DS1307.pdf"
"U2","1","MOC3021M","","","","SnapEDA:DIP762W45P254L889H508Q6_MOC3021","https://www.onsemi.com/pub/Collateral/MOC3023M-D.PDF"
"V1","1","VSIN","","","","","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#sec_Independent_Sources_for"
"V2","1","5","","","","","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#sec_Independent_Sources_for"
